,0
raw_invoice_payment_delinquency_rate,342541.67452549934
raw_aggregate_credit_utilization,111346.80277323723
volatility_level,58432.68767142296
rev_vol_x_negtrend,18149.2764005661
dscr_daily_stated,15445.986352443695
raw_observed_revenue_trend_3mo,13898.346049547195
daily_payment,13586.260103225708
req_to_stated_annual,13256.361941576004
buffer_to_payment,13035.03141117096
raw_observed_cash_balance_p10,11959.813128232956
leverage_total,11779.210878133774
dscr_daily,10572.166013479233
overdrafts_per_month,9970.20456981659
payment_to_revenue,8782.312532663345
rd_distance,7582.68651342392
log_observed_cash_balance_p10,7208.807658910751
log_existing_debt_obligations,6559.209308862686
rev_log_ratio,6462.914170265198
tib_gap,6298.479602098465
payroll_regularity,5959.263459205627
engagement_intensity,5561.039852142334
bookkeeping_recency_decay,5261.479648351669
raw_vintage_years,4855.0808136463165
debt_to_revenue,4774.215207576752
inquiry_recency,4769.143158197403
raw_stated_time_in_business,4626.2324655056
te_sector,4608.4692735672
decline_recency,4209.060562372208
raw_account_age_days,4102.323266744614
log_stated_annual_revenue,3949.3393201828003
log_observed_monthly_revenue_avg_3mo,3900.7887840270996
te_intended_use_of_funds,3550.5490584373474
te_geography_region,3054.054208278656
te_application_channel,2712.7674973011017
util_x_inquiries,2659.6217408180237
raw_platform_active_months,2483.992128610611
no_feed_x_amount,2301.6131885051727
prior_size_vs_request,2124.9832332134247
prior_score,1981.6478443145752
log_requested_amount,1932.0880599021912
log_prior_loans_amount_total,1929.443521976471
ord_employee_count_bucket,1844.8095755577087
req_to_obs_annual,1840.2975282669067
avg_prior_loan_size,1773.9021379947662
raw_existing_debt_obligations,1757.7056441307068
ord_owner_personal_credit_band,1465.2470800876617
inquiry_velocity,1094.1745257377625
raw_observed_overdraft_count_3mo,957.7741949558258
raw_repeat_application_count,615.5617189407349
prior_default_rate_shrunk,511.5442156791687
raw_multi_lender_inquiry_count_30d,480.0491099357605
raw_requested_amount,411.01537132263184
no_inquiry_elsewhere,169.88098859786987
raw_recent_inquiries_count_6mo,145.53848838806152
never_declined_external,76.23827910423279
raw_prior_loans_count,69.88366985321045
tib_inflated,56.546589851379395
revenue_overstated,15.29670000076294
prior_declined_elsewhere_flag,0.0
is_first_time_borrower,0.0
above_rd_cutoff,0.0
no_bank_feed,0.0
