,mean_abs_shap
raw_invoice_payment_delinquency_rate,0.44448388432285185
raw_aggregate_credit_utilization,0.2518778574113597
volatility_level,0.1303189647949297
rev_vol_x_negtrend,0.05326137411287748
raw_requested_amount,0.05307135387379766
raw_observed_overdraft_count_3mo,0.051865992306890776
req_to_stated_annual,0.04458352450962764
leverage_total,0.043266085808956925
dscr_daily_stated,0.04270786566412126
raw_observed_revenue_trend_3mo,0.04116601995444868
dscr_daily,0.028530169884576725
payment_to_revenue,0.02789652513553157
buffer_to_payment,0.025663740009646815
log_observed_cash_balance_p10,0.02283789726090333
prior_score,0.019495339517824988
payroll_regularity,0.016892622034149242
ord_employee_count_bucket,0.015184353014534226
log_existing_debt_obligations,0.01404032556249131
rev_log_ratio,0.013343134444703584
tib_gap,0.012786650936780074
te_intended_use_of_funds,0.01266736029033309
te_sector,0.010478683006361114
te_application_channel,0.009701093150624675
engagement_intensity,0.009265292689497726
inquiry_recency,0.008201549325633708
no_feed_x_amount,0.008046428535280056
decline_recency,0.007808374843219635
log_observed_monthly_revenue_avg_3mo,0.0071670757068152645
bookkeeping_recency_decay,0.005456761708003128
raw_stated_time_in_business,0.005426075542622531
log_stated_annual_revenue,0.005307494669219629
raw_observed_cash_balance_p10,0.005295619394920781
raw_account_age_days,0.004884587433046992
log_prior_loans_amount_total,0.004646107334607687
debt_to_revenue,0.004533740144217291
te_geography_region,0.004123976960657572
raw_existing_debt_obligations,0.0041091693620772885
raw_vintage_years,0.004012254744946253
inquiry_velocity,0.00394355916405522
ord_owner_personal_credit_band,0.003759615151879986
raw_platform_active_months,0.003564253873435756
prior_size_vs_request,0.0031007369955454267
util_x_inquiries,0.002648264407164461
raw_repeat_application_count,0.001785497977138898
prior_default_rate_shrunk,0.0010717471094951298
raw_multi_lender_inquiry_count_30d,0.0006229252747436283
raw_recent_inquiries_count_6mo,0.0004156369996828559
no_inquiry_elsewhere,0.0003918576496082185
tib_inflated,0.00020276883094042916
raw_prior_loans_count,0.0002005874643614373
is_first_time_borrower,9.966314155130824e-05
never_declined_external,6.688112221919748e-05
no_bank_feed,0.0
revenue_overstated,0.0
above_rd_cutoff,0.0
